JobTitel,CompanyName,Skills
Python Back-End Developer (Part-Time),Snuggs Egypt -,Part TimeFreelance / ProjectWork From HomeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · back-end · Back-End Developer · Computer Science · developer · Python · Software Development · Software Engineering · Information Technology (IT)
Web Developer (Javascript/Typescript),Split-E -,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · WebGL · JavaScript · Programming · Typescript · Software Development · Software · Computer Science · Development
Full-Stack (.Net)/ JavaScript Developer (Remote position),Remote Platz -,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Docker · AWS · React.js · JavaScript · C# · Information Technology (IT) · Computer Science · Node.js
React Senior Front End Developer,LINK Development -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front-End · Computer Science · Information Technology (IT) · CSS3 · Angular · Software Development · HTML5 · javaScript
Senior Odoo Developer - Giza,Isky Development -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Computer Science · JavaScript · Programming · Software Development · Information Technology (IT) · MySQL · Software Engineering
Front-End Developer,qpix -,Full TimeWork From HomeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · javaScript · HTML5 · CSS · Engineering · CSS3
Senior Angular Frontend Developer,42 Group -,Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AngularJS · JavaScript · Computer Engineering · Software Development · Computer Science · Engineering · HTML · Information Technology (IT)
Full Stack Web Developer,Furqan Group for Education & IT -,Full TimeWork From HomeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Development · Computer Science · Information Technology (IT) · Node.js · Software Development · MySQL · JavaScript · Front end
Senior Odoo Developer,Blue Ribbon -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Odoo · Computer Science · CSS · Git · HTML · JavaScript
Wordpress Developer,Affsquare -,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Communication skills · Computer Science · PHP · Information Technology (IT) · WordPress · MySQL · CSS3 · Design
BI Developer,Ghassan Ahmed Alsulaiman for Electronic Services -,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · SQL · BI · XML · C# · MS SQL · javaScript
Odoo Developer,Arrows for information technology  -,Full TimeExperienced · 1+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Odoo Developer · Python · Odoo · Information Technology (IT) · developer · Computer Science · ERP
Front-end Developer(React),YDS yasar digital services  -,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · RESTful · Git · Information Technology (IT) · React · RESTful APIs · Software Development · Computer Science
Software Tech Lead,BlueCloud -,Full TimeExperienced · 6 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · .Net · Computer Engineering · Computer Science · Engineering · HTML · Information Technology (IT) · Software Development
Senior PHP / Laravel Developer,webSTDY -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · AJAX · javaScript · Web Development · MySQL · PHP · Laravel · OOP
Senior Node JS Developer,LINK Development -,Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Node JS · PHP · javaScript · HTML · MySQL · OOP · Angular · Maintenance
Full Stack Lead React.js & Node.js,Infinity Business Solutions -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Node.js · React.js · React js · Information Technology (IT) · HTML5 · JavaScript · React · Engineering
