JobTitel,CompanyName,Skills
Senior Angular Frontend Developer,42 Group -,Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AngularJS · JavaScript · Computer Engineering · Software Development · Computer Science · Engineering · HTML · Information Technology (IT)
Wordpress Developer,Affsquare -,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Communication skills · Computer Science · PHP · Information Technology (IT) · WordPress · MySQL · CSS3 · Design
Front End Developer,52nd Solution  -,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front End · Information Technology (IT) · Engineering · Software Development · Angular · Git · HTML5 · CSS3
Frontend Developer,Centro CDX -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · CSS3 · Information Technology (IT) · HTML5 · Bootstrap · JavaScript · front-end
Sr. Odoo Developer,Al Rabat -,Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML · CSS · Java · Odoo · Python · JavaScript · Information Technology (IT) · Computer Science
Senior Odoo Developer - Giza,Isky Development -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Computer Science · JavaScript · Programming · Software Development · Information Technology (IT) · MySQL · Software Engineering
Lead Software Developer,Obeikan Digital Solutions -,Full TimeWork From HomeManager · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · HTML5 · Information Technology (IT) · JavaScript · jQuery · MySQL · Software
PHP/Wordpress Developer,Union Coop -,Freelance / ProjectExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · PHP · Software Development · CSS3 · HTML5 · JavaScript · jQuery
Front-End Developer,qpix -,Full TimeWork From HomeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · javaScript · HTML5 · CSS · Engineering · CSS3
MEAN Full-Stack Developer,Confidential -,Part TimeFreelance / ProjectWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · front-end · Angular · Node.js · JavaScript · Ionic · Ionic Framework · Mobile Development · full-stack
Senior Solution Developer,Smart IT -,Full TimeExperienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · jQuery · Software Development · Software · Information Technology (IT) · Web Development · SQL
.Net Developer (.Net Core - Angular),Impress Digital Solutions -,Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ASP.NET · C# · .net core · Software Development · Git · .NET · Computer Science · Information Technology (IT)
Senior UI/UX Designer,Impress Digital Solutions -,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · UX Design · UI · Design · illustrator · UI/UX · Adobe XD · CSS
Senior PHP / Laravel Developer,webSTDY -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · AJAX · javaScript · Web Development · MySQL · PHP · Laravel · OOP
PHP-Laravel Developer,DevartLab -,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Laravel · Software Development · Computer Science · CSS · Information Technology (IT) · HTML · JavaScript · OOP
Laravel Developer,8X Egypt -,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Laravel · backend · PHP · Information Technology (IT) · HTML5 · JavaScript · CSS3 · Computer Science
Senior.PHP Laravel Developer - Saudi Arabia,Alexandria For Programming -,Full TimeExperienced · 3 - 14 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · APIs · Computer Science · English · Frameworks · Information Technology (IT) · Laravel
Senior Laravel Developer,34ML -,Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Information Technology (IT) · Software Engineering · MVC · Engineering · Git
Laravel Developer,34ML -,Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Information Technology (IT) · Software Engineering · MVC · Engineering · Git
Senior PHP Developer (Laravel With MongoDB & MySQL),Media Pan arab -,Full TimeExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Javascript · Laravel · Cross Platform Mobile Applications · Web Developer · Information Technology (IT) · Computer Science · Software Development
Software Developer (PHP/Laravel),Confidential -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Laravel · OOP · PHP · MySQL · API Development · Vue.js · React.js · Telecom Engineering
Intermediate Laravel Developer,Confidential -,Full TimeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · laravel · Information Technology (IT) · Computer Science · Software Development · Software · MySQL · HTML
Backend Developer (PHP - Laravel),Dafa -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · back-end · Computer Science · Information Technology (IT) · MySQL · PHP · Programming · Software Development · Web Development
Mid-level Software Developer - PHP/Laravel,evntoo -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Startup · PHP · PHP Developement · Laravel · REST · XML · MYSQL · XHTML
Software Engineer/PHP/Laravel,Syntrum Solutions -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · engineer · Software · Software Development · Software engineer · Information Technology (IT) · Software Engineering · RESTful
Laravel Developer,ATW Ltd. -,Full TimeEntry Level · 1 - 2 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Laravel · PHP · Programming · back-end · Laravel Framework · Framework
Laravel Developer,Cloud Secrets -,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MySQL · Laravel · PHP · backend · APIs · Information Technology (IT) · Computer Science
Laravel Developer,Bird Solutions -,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Laravel · Full Stack Development · developer · PHP · Web · RESTful APIs · React.js · JavaScript
"Full Stack Developer (.NET core , Angular)",Smart IT -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Software Engineering · OOP · ASP.NET · C#.Net · ADO.NET · SQL
Senior Front End Developer (Angular 8+),Neom Tech -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · HTML5 · Git · CSS3 · Front End · Software
Senior Front End Developer (Angular 8+) Saudi Arabia,Confidential -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · HTML5 · Git · CSS3 · Front End · Software
Senior Front-End Developer - Angular,Trufla -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Angular · Bootstrap · Computer Science · CSS · Design · front-end · Git
Senior Frontend Developer (Angular),FlairsTech -,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · APIs · Computer Science · HTML5 · JavaScript · Software Engineering · Software Development · Web Development · Angular
.Net Developer (.Net Core - Angular),Impress Digital Solutions -,Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ASP.NET · C# · .net core · Software Development · Git · .NET · Computer Science · Information Technology (IT)
Senior Ionic Developer (With Angular),Media Pan arab -,Full TimeExperienced · 2 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · Bootstrap · CSS · Git · HTML · Information Technology (IT) · jQuery
Senior Frontend Developer (Angular),ENCOODERS TECHNOLOGIES -,Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · developer · Frontend · Frontend Developer · Information Technology (IT) · Software Development · senior
Senior Full Stack Developer (.NET Core/Angular),ENCOODERS TECHNOLOGIES -,Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · Angular · ASP.Net · Computer Science · Full Stack · Git · Information Technology (IT) · JavaScript
Senior Front End Developer (Angular 8+) - Saudi Arabia,Neom Tech -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · HTML5 · Git · CSS3 · Front End · Software
Front End Angular Developer,RISEUP (Endemag for Administrative Skills Development) -,Work From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · CSS · Design · Engineering · HTML · Information Technology (IT) · JavaScript
Senior Angular Frontend Developer,42 Group -,Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AngularJS · JavaScript · Computer Engineering · Software Development · Computer Science · Engineering · HTML · Information Technology (IT)
Senior Front-End Developer (Angular ),evntoo -,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Startup · UI Developement · HTML5 · CSS3 · UI · Bootstrap · Flexbox · Angular2
Angular Developer,Exceed -,Part TimeFreelance / ProjectWork From HomeExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Frontend · JavaScript · Computer Science · Agile · CSS3 · Design · Git
Senior Dotnet Developer (C#.net with Angular / .net Core),PixelQue Software Pvt. Ltd. -,Full TimeExperienced · 2 - 10 Yrs of Exp · IT/Software Development · Angular · .Net · ASP.Net · AngularJS · .net core · c#
Python API Developer Ocucon Team (UK) - (Alexandria),Procrew -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · python development · RESTful API · Flask · Automation Testing · Docker · Computer Science · Information Technology (IT) · Software Development
Software Developer (PHP/Laravel),Confidential -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Laravel · OOP · PHP · MySQL · API Development · Vue.js · React.js · Telecom Engineering
Senior Front End Developer,Meem Development -,Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · React · JavaScript · API · Design · Git · Information Technology (IT) · Computer Science
Technical Support Engineer,Roots Management Consultants -,Full TimeExperienced · 3 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Arabic · AWS · Azure · Computer Science · Computer Skills · Engineering · English
Senior Software Quality Control Tester (Remotely),Confidential -,Full TimeWork From HomeExperienced · 4+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Information Technology (IT) · Web API · API Testing · Quality Control · Software Testing
Supplier Connectivity & Optimization Specialist,WebBeds -,Full TimeExperienced · 2 - 3 Yrs of Exp · Business Development · Analyst/Research · Sales/Retail · ASP.Net Web API · Travel · Technical Analysis · XML · SQL · PowerBI · Technical Account Management
Full Stack Developer - Remotely - UK,Mobile Wave 3 -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack Development · PHP · MySQL · RESTful APIs · Elasticsearch · lambda · step function · APIs
Backend Team Lead (Java),Confidential -,Full TimeManager · 8 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · coding · Computer Science · Design · Engineering · Information Technology (IT) · Java · Lead · Software
Senior .Net Developer,SSC Egypt -,Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Architecture · Design · Information Technology (IT) · Ms-SQL · Programming · Software · quality
Senior Xamarin Developer,Smart IT -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Xamarin · Xamarin Forms · Xamarin Development · Software Development · developer · C# · Mobile Development · iOS
Senior PHP / Laravel Developer,webSTDY -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · AJAX · javaScript · Web Development · MySQL · PHP · Laravel · OOP
Senior Java Developer,Confidential -,Full TimeExperienced · 4 - 6 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · backend · API · Computer Science · Information Technology (IT) · RESTful · Java · Software Development
Senior Fullstack Java Developer for European Client,Confidential -,Full TimeFreelance / ProjectExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java EE · Rest API · Computer Science · Development · Information Technology (IT) · Java · Spring · Software Development
Senior .NET Developer,Neom Tech -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · .NET · Git · Web API · Development · Web Applications
QC Test Engineer,Technosignage -,Full TimeWork From HomeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · API · Automation · Computer Science · Information Technology (IT) · Software · Software Testing · Testing
Senior PHP Developer (Laravel With MongoDB & MySQL),Media Pan arab -,Full TimeExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Javascript · Laravel · Cross Platform Mobile Applications · Web Developer · Information Technology (IT) · Computer Science · Software Development
Database Administrator,Acmesaico -,Full TimeExperienced · 3+ Yrs of Exp · Administration · IT/Software Development · database administration · Database · Information Technology (IT) · Computer Science · Linux · Oracle · MySQL · DB2
Wordpress Developer,Affsquare -,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Communication skills · Computer Science · PHP · Information Technology (IT) · WordPress · MySQL · CSS3 · Design
Senior Odoo Developer - Giza,Isky Development -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Computer Science · JavaScript · Programming · Software Development · Information Technology (IT) · MySQL · Software Engineering
Senior Python / Django Developer,RDI -,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · MySQL · PostgresSQL · Debugging · GIT · Docker · javaScript
Senior Devops Engineer,UnitLabs -,Full TimeWork From HomeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · AWS · MongoDB · Software Development · Computer Science · Engineering · HTTP · Information Technology (IT)
Lead Software Developer,Obeikan Digital Solutions -,Full TimeWork From HomeManager · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · HTML5 · Information Technology (IT) · JavaScript · jQuery · MySQL · Software
Senior Node JS Developer,LINK Development -,Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Node JS · PHP · javaScript · HTML · MySQL · OOP · Angular · Maintenance
Junior PHP Developer,intrazero -,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Laravel · PHP · Javascript · Jquery · OOP · Agile
Senior Odoo Developer,Blue Ribbon -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Odoo · Computer Science · CSS · Git · HTML · JavaScript
Full Stack Senior Java Developer (Remotely for USA),Mobile Wave 3 -,Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Computer Science · Java · JavaScript · React · CSS · Python · jQuery
Intermediate Laravel Developer,Confidential -,Full TimeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · laravel · Information Technology (IT) · Computer Science · Software Development · Software · MySQL · HTML
Full Stack Web Developer,Furqan Group for Education & IT -,Full TimeWork From HomeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Development · Computer Science · Information Technology (IT) · Node.js · Software Development · MySQL · JavaScript · Front end
Senior Infrastructure Engineer,siParadigm Egypt -,Full TimeWork From HomeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MySQL · Engineering · Information Technology (IT) · Infrastructure · Linux · Computer Science · computer · HTTP
FrontEnd Developer.,Confidential -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Information Technology (IT) · Computer Science · AJAX · CSS · Development · HTML · JavaScript
Senior PHP Developer (Laravel With MongoDB & MySQL),Media Pan arab -,Full TimeExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Javascript · Laravel · Cross Platform Mobile Applications · Web Developer · Information Technology (IT) · Computer Science · Software Development
Senior Devops Engineer,UnitLabs -,Full TimeWork From HomeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · AWS · MongoDB · Software Development · Computer Science · Engineering · HTTP · Information Technology (IT)
Senior Data Engineer | Tableau Is A Must,Fatura  -,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Big Data · Python · Tableau · Data Modeling · Google BigQuery · SQL · Git · Apache Hadoop
Senior SW Backend Engineer | Node.JS,Fatura  -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MongoDP · NodeJS · JavaScript · AWS · RESTful APIs · Microsoft Azure · NoSQL Database · SQL
Full Stack Developer,Confidential -,Full TimeExperienced · 5 - 10 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · CSS · HTML · Information Technology (IT) · JavaScript · jQuery
DevOps Engineer Team Leader,Confidential -,Full TimeManager · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Startup · Software Engineering · Engineering · Software Development · DevOps · AWS · Docker · Varnish
Senior Software Developer - Backend,Optasia -,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Development · Java · Back End · NoSQL · spring Framework · Information Technology (IT) · MongoDB · Computer Science
Senior Ruby on Rails Developer,FlairsTech -,Full TimeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Ruby on Rails · Apollo · CSS · React · HTML · Js · vue2 · MongoDB
"Back-End Developer (NodeJS, Typescript)",qpix -,Full TimeWork From HomeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MongoDB · Node.JS · Typescript · Information Technology (IT) · Computer Science · Software · Software Development · javaScript
Node Developer,More -,Full TimeEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Computer Science · Git · React · APIs · REST · javaScript
PHP Symfony Backend Developer - Remote,Smart Solutions Egypt -,Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Backend developer · Symfony · PHP · MongoDB · Agile · Information Technology (IT) · Software Development · Telecom Engineering
Senior DevOps Engineer - Cairo,Confidential -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Startup · Software Engineering · Engineering · Software Development · DevOps · AWS · Docker · Varnish
Node JS Developer,Premier Services and Recruitment -,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · developer · Information Technology (IT) · JavaScript · Js · node · Node Js · Software Development
Full Stack Python Developer,El Geel El Rakamy -,Full TimePart TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · MongoDB · Python · HTML5 · Git · CSS3 · Computer Science · Software Development · REST · JavaScript
Software/Data Engineer,Confidential -,Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Information Technology (IT) · Computer Science · Engineering · English · Java · MongoDB · Programming
SAP C4C Consultant,Talaat Moustafa Group -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · SAP · Computer Science · SAP S/4HANA · S/4HANA · Engineering · Integration · UI
Key Account Manager (B2B / B2C),Confidential -,Full TimeExperienced · 2 - 5 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · FMCG · Sales · Business Administration · Sales Skills · Sales Target · POS · Food & Beverage
Senior Operation and Account Manager - (B2B & B2C Online Booking System),Safa Soft -,Full TimeExperienced · 3 - 6 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Operations · Tourism · Travel · IT · Customer Service · English · Arabic
German B2B & B2C Telesales Executive,GT World OF Beauty -,Full TimeEntry Level · 2 - 4 Yrs of Exp · Customer Service/Support · Sales/Retail · business · B2B · Sales Target · Telesales · sales skills · Sales · Communication · Management
B2C Payment Fraud Data Specialist,Wego -,Full TimeExperienced · 3+ Yrs of Exp · Accounting/Finance · B2C · Communication skills · Administration · Computer Skills
C/C++ Software Engineer,Confidential -,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · c/c++ · mongodb · oop · Software Development · Computer Science · Information Technology (IT) · Software Engineering · Software
Sales Engineer,Gila Electric -,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · IT · Sales · sales skills · Sales Target · B2B · B2C
Vodafone IR Customer Support - Home Based- Non Cairo Residents.,_VOIS Egypt -,Full TimeShift BasedWork From HomeEntry Level · 1 - 5 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Care · Customer Support · Communication skills · English · Communication · C1
Customer Support Specialist (VOIS) Remote work-Non Cairo Residents,_VOIS Egypt -,Full TimeShift BasedWork From HomeEntry Level · 1 - 5 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Care · Customer Support · c1 · Communication skills · English · Call Centre · Communication
Business Developer,EMS Solutions -,Full TimeEntry Level · 1+ Yrs of Exp · Business Development · Sales/Retail · Engineering - Mechanical/Electrical · Business Development · B2B · B2C · Business · Sales · Sales Skills · Sales Target
Senior iOS Developer,Fawry Banking & Payment Technology Services -,Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · iOS · APIs · RESTful · Core Animation · Core Data
IOS Developer,Yomicepa LLC -,Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Objective-C · iOS · React Native · Software Development · React · APIs · RESTful APIs · RESTful
Sales Account Executive,florentine foods -,Full TimeExperienced · 3 - 10 Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management · Sales/Retail · B2B · Sales · Account executive · B2C · Sales Target · English · Communication
Embedded System Engineer,Confidential -,Full TimeExperienced · 4 - 8 Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Other · Embedded System · Embedded C · stm32 · Altium · uart · Raspberry Pi · PCB Design
Sales Specialist,Bayan-tech -,Full TimeEntry Level · 0 - 2 Yrs of Exp · Customer Service/Support · Sales/Retail · B2B · English · Fresh · Sales Target · Business Development · offshore · Telesales · Telemarketing
SAP C4C Consultant,Talaat Moustafa Group -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · SAP · Computer Science · SAP S/4HANA · S/4HANA · Engineering · Integration · UI
Key Account Manager (B2B / B2C),Confidential -,Full TimeExperienced · 2 - 5 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · FMCG · Sales · Business Administration · Sales Skills · Sales Target · POS · Food & Beverage
Senior Operation and Account Manager - (B2B & B2C Online Booking System),Safa Soft -,Full TimeExperienced · 3 - 6 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Operations · Tourism · Travel · IT · Customer Service · English · Arabic
German B2B & B2C Telesales Executive,GT World OF Beauty -,Full TimeEntry Level · 2 - 4 Yrs of Exp · Customer Service/Support · Sales/Retail · business · B2B · Sales Target · Telesales · sales skills · Sales · Communication · Management
B2C Payment Fraud Data Specialist,Wego -,Full TimeExperienced · 3+ Yrs of Exp · Accounting/Finance · B2C · Communication skills · Administration · Computer Skills
C/C++ Software Engineer,Confidential -,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · c/c++ · mongodb · oop · Software Development · Computer Science · Information Technology (IT) · Software Engineering · Software
Sales Engineer,Gila Electric -,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · IT · Sales · sales skills · Sales Target · B2B · B2C
Vodafone IR Customer Support - Home Based- Non Cairo Residents.,_VOIS Egypt -,Full TimeShift BasedWork From HomeEntry Level · 1 - 5 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Care · Customer Support · Communication skills · English · Communication · C1
Customer Support Specialist (VOIS) Remote work-Non Cairo Residents,_VOIS Egypt -,Full TimeShift BasedWork From HomeEntry Level · 1 - 5 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Care · Customer Support · c1 · Communication skills · English · Call Centre · Communication
Business Developer,EMS Solutions -,Full TimeEntry Level · 1+ Yrs of Exp · Business Development · Sales/Retail · Engineering - Mechanical/Electrical · Business Development · B2B · B2C · Business · Sales · Sales Skills · Sales Target
Senior iOS Developer,Fawry Banking & Payment Technology Services -,Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · iOS · APIs · RESTful · Core Animation · Core Data
IOS Developer,Yomicepa LLC -,Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Objective-C · iOS · React Native · Software Development · React · APIs · RESTful APIs · RESTful
Sales Account Executive,florentine foods -,Full TimeExperienced · 3 - 10 Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management · Sales/Retail · B2B · Sales · Account executive · B2C · Sales Target · English · Communication
Embedded System Engineer,Confidential -,Full TimeExperienced · 4 - 8 Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Other · Embedded System · Embedded C · stm32 · Altium · uart · Raspberry Pi · PCB Design
Sales Specialist,Bayan-tech -,Full TimeEntry Level · 0 - 2 Yrs of Exp · Customer Service/Support · Sales/Retail · B2B · English · Fresh · Sales Target · Business Development · offshore · Telesales · Telemarketing
SAP C4C Consultant,Talaat Moustafa Group -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · SAP · Computer Science · SAP S/4HANA · S/4HANA · Engineering · Integration · UI
Key Account Manager (B2B / B2C),Confidential -,Full TimeExperienced · 2 - 5 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · FMCG · Sales · Business Administration · Sales Skills · Sales Target · POS · Food & Beverage
Senior Operation and Account Manager - (B2B & B2C Online Booking System),Safa Soft -,Full TimeExperienced · 3 - 6 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Operations · Tourism · Travel · IT · Customer Service · English · Arabic
German B2B & B2C Telesales Executive,GT World OF Beauty -,Full TimeEntry Level · 2 - 4 Yrs of Exp · Customer Service/Support · Sales/Retail · business · B2B · Sales Target · Telesales · sales skills · Sales · Communication · Management
B2C Payment Fraud Data Specialist,Wego -,Full TimeExperienced · 3+ Yrs of Exp · Accounting/Finance · B2C · Communication skills · Administration · Computer Skills
C/C++ Software Engineer,Confidential -,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · c/c++ · mongodb · oop · Software Development · Computer Science · Information Technology (IT) · Software Engineering · Software
