account_id,user_id
18137638,15063981
20335527,14916365
203997,451959
14609609,10551444
5332449,4252667
12331415,8997273
5636163,4461605
24522978,18435743
25160596,19004831
17254331,12493812
17448397,12648892
25160603,19004838
3948085,3259739
18906224,13793303
18805602,13715014
18744389,13666953
6530365,5051678
32668,90800
20797415,15274183
6637969,5124601
25132874,18979917
25160566,19004807
18412785,13412569
24945054,18810469
25159677,19004052
4515311,6159325
23828127,17834839
25160575,19004815
10397196,7666635
14458232,10443788
9530724,7082504
20774025,15255992
25158425,19002941
25160069,19004378
10882359,8000840
22611858,16791896
12579465,9150705
22925692,17060805
21727506,16036714
25137139,18983786
21018,50776
24127601,18095644
20773455,15255549
25152182,18997396
21239611,17537722
25160565,19004806
23301725,17382262
5085317,16245898
4347439,3549017
25158792,19003277
25159038,19003493
25091705,18943272
328297,651174
11494,22185
13542135,9971404
16686443,12060231
9958837,7368799
25038663,18895786
25160500,19004751
25006577,18866447
24010621,19004479
24220703,18209964
20008575,17545832
10333455,7622456
7769610,8390913
13548341,9773920
25082152,18934795
7038575,5391733
20666714,15173384
4890782,3941988
25160414,19004680
1634981,1508724
19497953,14264694
14894665,10755384
902016,937903
25160546,19004790
168474,393953
3097831,2622678
23471470,17524913
5753992,4542614
4120352,3380902
4753429,3842845
9888683,7322431
7537030,5722968
23264201,17350019
9890803,7323842
1640670,1513174
17379741,12592241
7885424,5957682
20098829,14737757
3860851,3227302
18539548,13508395
25132536,18979616
412102,784988
15686512,11319040
14984677,10817612
22795922,16949484
23060900,17176201
24334396,18272722
23471031,17524544
5709494,4512005
12005631,8893606
914856,947889
328297,651174
21632491,15955866
25160499,19004750
7140159,18549457
25159305,19003757
23771074,17785131
25160507,19004757
16168825,11673093
25160481,19004735
7306036,5566936
18784598,13698449
14336624,11832197
13110845,9471943
7812,13700
19727217,14443538
5273813,4211297
1393525,8717499
5917247,4655668
24930782,18797926
33972,95509
14679194,10601265
25093546,18944960
24516365,18430064
12647287,9192593
23967376,17956658
1767037,5959432
25109618,18959429
14711209,10624521
3577752,2986599
3842362,3185056
63906,188930
4494773,3654852
3141,4465
15773107,11381577
19595765,14341839
22885208,17026191
20422529,14983238
2480042,2159680
24734646,18622183
1968365,1768008
24209265,18166012
24387065,18317672
18740706,13664022
23424016,17483742
8997523,6707321
23278547,17362303
1012963,1025142
1012963,1025142
25159472,19003873
21470610,15819684
10440463,8121740
25156791,19001527
20076666,14720266
10252330,7566153
21716608,16027559
14039572,10141379
19401076,14187620
24161019,18124547
18134799,13189488
24471853,18391467
16000265,11547142
22931886,17066023
11789652,14211423
25160293,19004576
25160160,19004459
24832297,18711352
18521716,13494551
18295839,13321797
25160400,19004666
25159850,19004192
18504771,13481331
23991870,17977888
21627414,18080674
18857693,13755254
13797302,9958179
21110568,15518615
19004382,13871346
25028537,18886537
2160535,1914781
22988205,17114097
4453744,3624736
25160393,19004661
6135208,4784299
2139680,1898662
25149370,18994791
16804804,12149285
20128469,14761334
23219690,17312141
169090,394978
20758266,15244150
3863306,4339640
4673,7141
6707111,5171621
2995330,2541989
22203257,16443577
12585981,9154867
2219204,1959095
6061589,4733171
24914117,18783285
25135825,18982610
5790510,4568140
25160349,19004624
23705288,17727858
25160099,19004405
14188782,10250051
23059380,17174965
15329229,11059423
24870488,18745056
19580477,14329666
20534823,15071181
12951112,9363401
4868831,4350389
18346215,13361360
23626582,19004536
24931039,19004122
5881014,4767733
3948330,3259896
24037361,18017479
10165238,7507422
328297,651174
20732441,15224052
24467475,18387638
1108189,1099142
24885006,18965024
12964440,9372534
1801025,1639385
19048215,13906959
2738073,2371179
12205042,8908374
24763696,18647773
20477895,16957596
332278,657477
339239,668593
11326112,8304961
2142244,1900620
25160190,19004487
25159940,19004269
87532,242682
4819620,3890649
24096904,18069264
12931003,9350030
25041416,18898247
20922777,15370952
1342838,1284186
5061124,4062688
16292081,19004575
21619923,15945092
23474400,17527421
1351768,1291189
5532921,4392332
24973852,18836729
6084544,4749097
24914188,18783345
25135585,18982394
25159086,19003539
19819444,14516368
23790616,17802104
17785323,18548445
17556332,12735707
18607590,13560852
11493218,8423413
14972066,10808616
1833555,1664377
6335132,4918765
7732262,6081549
3739545,3109616
15514157,11192196
20394442,14961591
24064761,18041499
4885117,3937811
325025,645957
8079610,8952081
24185468,18145450
21944416,16224480
25156915,19001637
19127849,13970444
2491997,2169274
22250211,16483251
24656536,18553163
25148092,18993629
25160237,19004524
6240401,4854207
19412950,14197059
24397839,18326964
20306032,14894283
164798,387800
9101986,6917496
5165792,4867992
13055940,9434790
1128185,1114926
13689512,9877702
4799688,3876637
13387773,9661091
25160137,19004440
23068764,17182863
11831243,8657914
249651,525865
13640624,9840684
25152181,18997395
11170703,8197772
24264749,18213822
18197094,13436149
21533150,15872261
16516062,11933499
12446767,9062752
15762410,11373765
25156848,19001576
1526413,1424739
13796763,9957784
24942217,18807942
206479,455796
8745882,6541207
22925768,17060862
9164458,6814658
23319093,17397310
48930,145504
21295973,15672528
22707560,16873990
24207661,18164626
25160254,19004542
139209,344669
10268689,7577786
18269181,13300280
25153907,18998951
25153907,18998951
16266456,19004397
12457374,9070108
934634,963798
